0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:09 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:14 +0530] "GET /OnlineBookStore_012113/CartServlet?process=myCart HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:17 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:17 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:17 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:36 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:36 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:37 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:38 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:38 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:21:52:41 +0530] "POST /OnlineBookStore_012113/CartServlet HTTP/1.1" 200 -
