0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:03 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:06 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:06 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 5320
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:15 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=allOrders HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:15 +0530] "GET /OnlineBookStore_012113/AllOrders.jsp HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:20 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=updateStatus&orderId=13 HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:22 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=updateStatus&orderId=12 HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:24 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:24 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 5320
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:28 +0530] "GET /OnlineBookStore_012113/BookServlet?process=updateCopies&cartid=55 HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:30 +0530] "GET /OnlineBookStore_012113/BookServlet?process=updateCopies&cartid=56 HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:29:31 +0530] "GET /OnlineBookStore_012113/BookServlet?process=updateCopies&cartid=57 HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:55:07 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:55:07 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:57:56 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:57:56 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:14 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:14 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:28 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=allOrders HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:28 +0530] "GET /OnlineBookStore_012113/AllOrders.jsp HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:37 +0530] "GET /OnlineBookStore_012113/CartServlet?process=allCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:37 +0530] "GET /OnlineBookStore_012113/AllCart.jsp HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/BookServlet?process=updateCopies&cartid=58 HTTP/1.1" 200 9401
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:56 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:58 +0530] "GET /OnlineBookStore_012113/OrderServlet?process=allOrders HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:58:58 +0530] "GET /OnlineBookStore_012113/AllOrders.jsp HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/LoginServelt?process=LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/BookServlet HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=7 HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=4 HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=15 HTTP/1.1" 200 16301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:18 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=18 HTTP/1.1" 200 9191
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:20 +0530] "GET /OnlineBookStore_012113/Login.jsp HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:28 +0530] "POST /OnlineBookStore_012113/LoginServelt HTTP/1.1" 200 9301
0:0:0:0:0:0:0:1 - - [11/Jan/2021:23:59:29 +0530] "GET /OnlineBookStore_012113/ImageServlet?bookid=14 HTTP/1.1" 200 10862
